GEOID,NAME,year,total_pop,white_nh,black_nh,native_nh,asian_nh,nhpi_nh,other_nh,two_plus_nh,hispanic,pct_white_nh,pct_black_nh,pct_asian_nh,pct_hispanic,pct_poc,median_income,median_home_value,housing_units_total,owner_occupied,renter_occupied,homeownership_rate,renter_rate
06001450602,"Census Tract 4506.02, Alameda County, California",2009,8275,4879,262,11,1728,0,108,282,1005,0.589607250755287,0.03166163141993958,0.20882175226586103,0.12145015105740181,0.41039274924471303,127442,784800,3092,2073,1019,0.6704398447606728,0.3295601552393273
06001450603,"Census Tract 4506.03, Alameda County, California",2009,4473,3030,0,7,699,0,25,80,632,0.6773977196512407,0,0.15627095908786048,0.1412921976302258,0.32260228034875926,112321,647000,1375,1176,199,0.8552727272727273,0.14472727272727273
06001450604,"Census Tract 4506.04, Alameda County, California",2009,4729,3783,160,0,478,0,0,0,308,0.7999577077606259,0.033833791499259885,0.10107845210403892,0.06513004863607529,0.2000422922393741,127966,866100,1576,1240,336,0.7868020304568528,0.2131979695431472
06001450605,"Census Tract 4506.05, Alameda County, California",2009,3424,2714,10,0,335,0,0,133,232,0.7926401869158879,0.0029205607476635513,0.09783878504672897,0.06775700934579439,0.2073598130841121,102426,778900,1223,976,247,0.7980376124284546,0.2019623875715454
06001450606,"Census Tract 4506.06, Alameda County, California",2009,5611,3915,38,0,1149,0,16,209,284,0.6977365888433434,0.006772411334877919,0.20477633220459812,0.050614863660666545,0.30226341115665656,150353,873300,1837,1588,249,0.864452912357104,0.13554708764289602
06001450607,"Census Tract 4506.07, Alameda County, California",2009,4533,2684,137,0,866,0,18,117,711,0.5921023604676815,0.030222810500772114,0.19104345907787337,0.15684976836532097,0.4078976395323185,75909,900500,1812,531,1281,0.29304635761589404,0.706953642384106
06001450701,"Census Tract 4507.01, Alameda County, California",2009,7740,5483,104,0,1358,20,20,271,484,0.7083979328165375,0.013436692506459949,0.17545219638242895,0.06253229974160207,0.2916020671834625,161316,1000001,2450,2101,349,0.8575510204081632,0.14244897959183672
06001450703,"Census Tract 4507.03, Alameda County, California",2009,8129,4278,99,130,2624,0,0,404,594,0.5262639931110837,0.012178619756427604,0.32279493172591955,0.07307171853856563,0.47373600688891626,111676,708200,2642,1996,646,0.7554882664647994,0.24451173353520061
06001450721,"Census Tract 4507.21, Alameda County, California",2009,7398,3755,162,48,2678,52,9,313,381,0.5075696134090295,0.021897810218978103,0.3619897269532306,0.05150040551500405,0.4924303865909705,126738,738800,2657,2233,424,0.8404215280391419,0.15957847196085811
06001450722,"Census Tract 4507.22, Alameda County, California",2009,9627,4403,302,72,3231,0,46,243,1330,0.4573595097122676,0.03137010491326478,0.33561857276410095,0.13815311104186143,0.5426404902877324,101621,683200,3561,1951,1610,0.5478798090424039,0.4521201909575962
06001450741,"Census Tract 4507.41, Alameda County, California",2009,4095,3020,37,12,351,0,0,28,647,0.7374847374847375,0.009035409035409036,0.08571428571428572,0.157997557997558,0.26251526251526247,81571,814400,1643,1015,628,0.6177723676202069,0.38222763237979307
06001450742,"Census Tract 4507.42, Alameda County, California",2009,4302,3221,68,49,591,0,10,118,245,0.7487215248721525,0.01580660158066016,0.13737796373779637,0.05695025569502557,0.2512784751278475,95250,668600,1636,1321,315,0.8074572127139364,0.19254278728606358
06001451101,"Census Tract 4511.01, Alameda County, California",2009,6706,4258,106,25,955,0,8,249,1105,0.6349537727408291,0.015806740232627497,0.14240978228452134,0.16477781091559798,0.3650462272591709,125489,689900,2183,1656,527,0.7585890975721484,0.24141090242785157
06001451102,"Census Tract 4511.02, Alameda County, California",2009,3973,3113,0,6,281,0,0,235,338,0.7835388874905613,0,0.07072741001761892,0.08507425119557009,0.21646111250943867,164833,927800,1286,1221,65,0.9494556765163297,0.05054432348367029
06001451201,"Census Tract 4512.01, Alameda County, California",2009,6198,3983,190,44,988,0,92,187,714,0.6426266537592772,0.030655050016134236,0.15940626008389802,0.11519845111326234,0.3573733462407228,81793,526900,2406,1675,731,0.6961762261014132,0.3038237738985869
06001451202,"Census Tract 4512.02, Alameda County, California",2009,3370,2328,10,0,156,84,0,65,727,0.6908011869436201,0.002967359050445104,0.04629080118694362,0.21572700296735906,0.30919881305637986,91902,563100,1130,972,158,0.8601769911504424,0.13982300884955753
06001451300,"Census Tract 4513, Alameda County, California",2009,6455,4587,0,0,505,0,24,265,1074,0.7106119287374129,0,0.07823392718822618,0.16638264910921766,0.28938807126258714,104559,588700,2304,1961,343,0.8511284722222222,0.1488715277777778
06001451401,"Census Tract 4514.01, Alameda County, California",2009,5172,3312,119,0,559,0,24,202,956,0.6403712296983759,0.02300850734725445,0.10808197989172467,0.1848414539829853,0.3596287703016241,85911,658600,1987,1407,580,0.708102667337695,0.291897332662305
06001451402,"Census Tract 4514.02, Alameda County, California",2009,8700,4103,288,0,618,0,45,196,3450,0.47160919540229884,0.03310344827586207,0.07103448275862069,0.39655172413793105,0.5283908045977012,78969,550400,2805,1451,1354,0.5172905525846703,0.4827094474153298
06001451501,"Census Tract 4515.01, Alameda County, California",2009,4737,3343,253,17,350,0,6,113,655,0.705720920413764,0.05340933080008444,0.07388642600802195,0.13827316867215536,0.294279079586236,88980,769800,1715,1146,569,0.6682215743440233,0.33177842565597665
06001451502,"Census Tract 4515.02, Alameda County, California",2009,7578,5825,14,68,341,0,0,102,1228,0.7686724729480073,0.0018474531538664556,0.04499868039060438,0.16204803378200053,0.23132752705199267,98397,627800,2619,1930,689,0.7369224894998091,0.2630775105001909
06001451503,"Census Tract 4515.03, Alameda County, California",2009,5463,3700,43,69,380,0,0,226,1045,0.6772835438403807,0.007871133077063884,0.06955885044847153,0.19128683873329672,0.3227164561596193,88452,556100,1980,1235,745,0.6237373737373737,0.37626262626262624
06001451601,"Census Tract 4516.01, Alameda County, California",2009,4150,3225,24,0,299,0,0,146,456,0.7771084337349398,0.005783132530120482,0.07204819277108433,0.10987951807228916,0.22289156626506024,96023,775600,1643,1137,506,0.6920267802799757,0.30797321972002434
06001451602,"Census Tract 4516.02, Alameda County, California",2009,6137,4707,0,0,388,12,19,227,784,0.7669871272608767,0,0.06322307316278312,0.12774971484438652,0.2330128727391233,83654,627900,2464,1480,984,0.6006493506493507,0.39935064935064934
06001451701,"Census Tract 4517.01, Alameda County, California",2009,3259,2171,33,0,30,55,0,134,836,0.6661552623504142,0.010125805461798098,0.009205277692543725,0.25652040503221846,0.3338447376495858,80096,573300,1037,778,259,0.7502410800385728,0.24975891996142718
06001451702,"Census Tract 4517.02, Alameda County, California",2009,8819,6388,171,0,626,36,0,358,1240,0.7243451638507767,0.019389953509468195,0.07098310466039233,0.14060551082889217,0.27565483614922326,108596,658200,2891,2490,401,0.861293670010377,0.13870632998962296
06013301000,"Census Tract 3010, Contra Costa County, California",2009,3604,2790,23,10,58,0,0,11,712,0.7741398446170921,0.006381798002219756,0.01609322974472808,0.19755826859045506,0.22586015538290793,39516,296900,1574,1267,307,0.8049555273189326,0.19504447268106734
06013302002,"Census Tract 3020.02, Contra Costa County, California",2009,10258,4569,763,22,276,0,0,432,4196,0.4454084616884383,0.07438097094950283,0.026905829596412557,0.40904659777734453,0.5545915383115617,69773,415400,3044,2108,936,0.6925098554533509,0.30749014454664914
06013302003,"Census Tract 3020.03, Contra Costa County, California",2009,10317,5419,468,64,571,0,0,100,3695,0.5252495880585442,0.04536202384414074,0.05534554618590676,0.3581467480856838,0.47475041194145584,71043,410700,3417,2834,583,0.829382499268364,0.17061750073163595
06013302004,"Census Tract 3020.04, Contra Costa County, California",2009,14514,6281,2370,13,1212,34,21,622,3961,0.43275458178310594,0.16329061595700703,0.08350558081852005,0.27290891552983326,0.567245418216894,91395,457400,3979,3279,700,0.8240764011058055,0.1759235988941945
06013303100,"Census Tract 3031, Contra Costa County, California",2009,15086,6429,1029,63,666,166,263,640,5830,0.42615670157762164,0.06820893543682885,0.04414689115736444,0.3864510141853374,0.5738432984223784,70625,523700,4723,3439,1284,0.7281388947702732,0.2718611052297269
06013303200,"Census Tract 3032, Contra Costa County, California",2009,37710,22301,2728,191,2602,153,71,1452,8212,0.5913815963935296,0.07234155396446566,0.06900026518164944,0.21776717051180058,0.4086184036064704,90356,527300,12143,10575,1568,0.870872107386972,0.1291278926130281
06013304000,"Census Tract 3040, Contra Costa County, California",2009,16733,12643,579,0,1109,82,133,294,1893,0.7555728201757007,0.03460228291400227,0.06627622064184545,0.11312974362039084,0.2444271798242993,98310,642200,6106,5344,762,0.8752047166721257,0.12479528332787422
06013305000,"Census Tract 3050, Contra Costa County, California",2009,5735,2723,567,47,30,137,28,34,2169,0.47480383609415866,0.0988666085440279,0.0052310374891020054,0.37820401046207497,0.5251961639058413,40077,312500,2047,625,1422,0.30532486565705913,0.6946751343429409
06013306001,"Census Tract 3060.01, Contra Costa County, California",2009,8431,4264,900,104,97,0,0,338,2728,0.5057525797651524,0.1067489028584984,0.011505159530304827,0.32356778555331517,0.4942474202348476,51553,398100,2766,1543,1223,0.5578452639190167,0.4421547360809834
06013306002,"Census Tract 3060.02, Contra Costa County, California",2009,3481,1734,386,79,25,7,43,120,1087,0.4981327204826199,0.1108876759551853,0.007181844297615628,0.3122665900603275,0.5018672795173801,67135,377500,1121,895,226,0.7983942908117752,0.2016057091882248
06013307101,"Census Tract 3071.01, Contra Costa County, California",2009,4134,2045,364,0,200,9,45,165,1306,0.4946782776971456,0.0880503144654088,0.04837929366231253,0.31591678761490083,0.5053217223028543,62021,432700,1452,1028,424,0.7079889807162535,0.29201101928374656
06013307102,"Census Tract 3071.02, Contra Costa County, California",2009,4779,1893,358,29,139,0,0,27,2333,0.39610797237915885,0.07491106926135174,0.02908558275789914,0.4881774429797029,0.6038920276208412,43988,347700,1675,1004,671,0.5994029850746269,0.40059701492537314
06013307201,"Census Tract 3072.01, Contra Costa County, California",2009,2558,737,315,0,304,0,13,44,1145,0.28811571540265835,0.12314308053166537,0.11884284597341674,0.44761532447224395,0.7118842845973417,31552,356100,832,444,388,0.5336538461538461,0.46634615384615385
06013307202,"Census Tract 3072.02, Contra Costa County, California",2009,3749,630,1341,0,166,0,33,32,1547,0.1680448119498533,0.3576953854361163,0.044278474259802615,0.41264337156575087,0.8319551880501467,36806,239700,1328,400,928,0.30120481927710846,0.6987951807228916
06013307204,"Census Tract 3072.04, Contra Costa County, California",2009,4007,1904,0,0,233,62,158,31,1619,0.47516845520339407,0,0.05814824057898677,0.40404292488145743,0.5248315447966059,63827,424600,1282,1074,208,0.8377535101404057,0.1622464898595944
06013307205,"Census Tract 3072.05, Contra Costa County, California",2009,6661,2602,1004,12,324,0,0,0,2719,0.3906320372316469,0.1507281189010659,0.048641345143371865,0.408196967422309,0.609367962768353,55867,402800,2447,1275,1172,0.5210461789946874,0.47895382100531264
06013308001,"Census Tract 3080.01, Contra Costa County, California",2009,7234,3857,748,0,149,0,0,261,2219,0.5331766657450926,0.103400608238872,0.020597179983411668,0.30674592203483547,0.4668233342549074,71522,424300,2270,1659,611,0.7308370044052863,0.2691629955947137
06013308002,"Census Tract 3080.02, Contra Costa County, California",2009,4506,1675,714,0,845,5,9,71,1187,0.3717265867731913,0.1584553928095872,0.1875277407900577,0.26342654238792723,0.6282734132268086,107593,489500,1352,1204,148,0.8905325443786982,0.10946745562130178
06013309000,"Census Tract 3090, Contra Costa County, California",2009,2916,728,915,57,710,0,0,94,412,0.2496570644718793,0.31378600823045266,0.24348422496570646,0.1412894375857339,0.7503429355281207,68162,442500,1011,764,247,0.7556874381800198,0.2443125618199802
06013310000,"Census Tract 3100, Contra Costa County, California",2009,5060,823,1261,73,422,0,5,306,2170,0.16264822134387352,0.2492094861660079,0.08339920948616601,0.4288537549407115,0.8373517786561264,47173,341200,1443,752,691,0.5211365211365211,0.47886347886347885
06013311000,"Census Tract 3110, Contra Costa County, California",2009,4610,430,1287,0,605,0,0,196,2092,0.09327548806941431,0.279175704989154,0.13123644251626898,0.45379609544468547,0.9067245119305857,43125,341700,1343,575,768,0.42814594192107225,0.5718540580789278
06013312000,"Census Tract 3120, Contra Costa County, California",2009,2292,185,921,0,265,0,0,56,865,0.08071553228621292,0.4018324607329843,0.1156195462478185,0.3773996509598604,0.919284467713787,25813,383500,789,357,432,0.4524714828897338,0.5475285171102662
06013313101,"Census Tract 3131.01, Contra Costa County, California",2009,7267,2072,1290,0,847,0,211,287,2560,0.28512453557176276,0.17751479289940827,0.11655428650061923,0.3522774184670428,0.7148754644282372,46286,356600,2862,1463,1399,0.5111809923130678,0.4888190076869322
06013313102,"Census Tract 3131.02, Contra Costa County, California",2009,4394,1038,754,49,606,186,133,110,1518,0.23623122439690486,0.17159763313609466,0.13791533909877104,0.3454710969503869,0.7637687756030951,59306,398900,1340,758,582,0.5656716417910448,0.4343283582089552
06013313103,"Census Tract 3131.03, Contra Costa County, California",2009,7316,2651,1476,0,1022,0,112,333,1722,0.36235647895024603,0.20174958993985784,0.1396938217605249,0.23537452159650082,0.637643521049754,64496,477300,2376,1506,870,0.6338383838383839,0.3661616161616162
06013313201,"Census Tract 3132.01, Contra Costa County, California",2009,8804,1255,784,65,1135,201,145,608,4611,0.14254884143571103,0.08905043162199,0.1289186733303044,0.5237392094502499,0.857451158564289,54343,369000,2269,1554,715,0.6848832084618774,0.3151167915381225
06013313202,"Census Tract 3132.02, Contra Costa County, California",2009,9292,2714,1032,0,1116,181,0,169,4080,0.29207920792079206,0.11106328024106758,0.12010331467929401,0.4390873869995695,0.7079207920792079,67334,466200,2895,2093,802,0.7229706390328152,0.2770293609671848
06013314102,"Census Tract 3141.02, Contra Costa County, California",2009,6678,1058,657,0,778,0,86,193,3906,0.15843066786463014,0.09838274932614555,0.11650194669062594,0.5849056603773585,0.8415693321353699,55061,351900,1766,1418,348,0.8029445073612684,0.1970554926387316
06013314103,"Census Tract 3141.03, Contra Costa County, California",2009,5674,1071,1229,0,678,69,12,72,2543,0.18875572788156503,0.21660204441311245,0.11949242157208319,0.4481847021501586,0.811244272118435,40294,350900,1710,820,890,0.47953216374269003,0.52046783625731
06013314104,"Census Tract 3141.04, Contra Costa County, California",2009,7167,1580,1374,39,255,102,0,259,3558,0.2204548625645319,0.19171201339472582,0.03557974047718711,0.49644202595228126,0.779545137435468,48469,292300,2392,1342,1050,0.5610367892976589,0.4389632107023411
06013314200,"Census Tract 3142, Contra Costa County, California",2009,6491,1683,313,0,178,32,78,311,3896,0.25928208288399324,0.04822061315667848,0.027422585117855492,0.600215683253736,0.7407179171160068,44222,333700,1812,1401,411,0.7731788079470199,0.22682119205298013
06013315000,"Census Tract 3150, Contra Costa County, California",2009,4157,1992,404,0,644,0,98,89,930,0.4791917248015396,0.0971854702910753,0.15491941303824874,0.2237190281452971,0.5208082751984604,87846,483600,1375,1222,153,0.8887272727272727,0.11127272727272727
06013316000,"Census Tract 3160, Contra Costa County, California",2009,1413,740,230,0,57,0,0,72,314,0.5237084217975938,0.16277423920736023,0.040339702760084924,0.2222222222222222,0.4762915782024062,21458,NA,384,25,359,0.06510416666666667,0.9348958333333334
06013317000,"Census Tract 3170, Contra Costa County, California",2009,1916,1513,5,0,15,0,0,109,274,0.7896659707724426,0.0026096033402922755,0.007828810020876827,0.1430062630480167,0.2103340292275574,43811,425400,1020,456,564,0.4470588235294118,0.5529411764705883
06013318000,"Census Tract 3180, Contra Costa County, California",2009,3845,2775,86,0,163,0,10,111,700,0.7217165149544863,0.0223667100130039,0.0423927178153446,0.18205461638491546,0.2782834850455137,55926,463800,1616,783,833,0.484529702970297,0.5154702970297029
06013319000,"Census Tract 3190, Contra Costa County, California",2009,7826,5912,225,71,201,22,40,213,1142,0.7554306158957321,0.028750319447993868,0.025683618706874523,0.14592384359826222,0.24456938410426787,62752,450400,3106,1960,1146,0.6310367031551836,0.3689632968448165
06013320001,"Census Tract 3200.01, Contra Costa County, California",2009,3632,2482,196,0,106,131,0,85,632,0.6833700440528634,0.053964757709251104,0.02918502202643172,0.17400881057268722,0.3166299559471366,65078,489100,1244,883,361,0.7098070739549839,0.29019292604501606
06013320002,"Census Tract 3200.02, Contra Costa County, California",2009,8142,5714,272,62,934,10,29,257,864,0.7017931712110047,0.03340702530090887,0.11471382952591501,0.10611643330876934,0.2982068287889953,91059,561900,3406,2645,761,0.776570757486788,0.22342924251321197
06013321101,"Census Tract 3211.01, Contra Costa County, California",2009,6076,4351,62,0,491,0,0,265,907,0.7160961158657011,0.01020408163265306,0.08080974325213956,0.14927583936800526,0.2839038841342989,93885,576500,2482,2006,476,0.8082191780821918,0.1917808219178082
06013321102,"Census Tract 3211.02, Contra Costa County, California",2009,6678,5035,59,18,659,0,0,162,745,0.753968253968254,0.00883498053309374,0.09868224019167415,0.11156034740940401,0.24603174603174605,103075,618200,2767,2622,145,0.9475966750993856,0.05240332490061438
06013321103,"Census Tract 3211.03, Contra Costa County, California",2009,4855,3691,157,0,475,0,33,74,425,0.7602471678681771,0.032337796086508754,0.09783728115345006,0.08753861997940268,0.23975283213182286,87431,661600,1851,1509,342,0.8152350081037277,0.1847649918962723
06013321200,"Census Tract 3212, Contra Costa County, California",2009,5502,3072,90,0,1654,18,0,161,507,0.5583424209378408,0.016357688113413305,0.30061795710650674,0.09214830970556162,0.4416575790621592,57350,490300,2333,1312,1021,0.5623660522931847,0.43763394770681524
06013322000,"Census Tract 3220, Contra Costa County, California",2009,6204,4308,289,0,775,0,13,203,616,0.6943907156673114,0.04658284977433914,0.12491940683430044,0.09929078014184398,0.30560928433268864,102454,654000,2412,1874,538,0.7769485903814262,0.2230514096185738
06013323000,"Census Tract 3230, Contra Costa County, California",2009,3924,2892,21,12,397,0,0,255,347,0.7370030581039755,0.005351681957186544,0.10117227319062182,0.08843017329255862,0.2629969418960245,79426,610100,1585,1339,246,0.844794952681388,0.15520504731861198
06013324000,"Census Tract 3240, Contra Costa County, California",2009,9283,5858,290,0,1601,27,43,397,1067,0.6310459980609716,0.031239900894107508,0.17246579769471077,0.11494129053107832,0.3689540019390284,60454,547900,4979,1293,3686,0.2596907009439646,0.7403092990560354
06013325000,"Census Tract 3250, Contra Costa County, California",2009,5449,4326,123,25,345,29,5,164,432,0.7939071389245733,0.0225729491649844,0.06331436960910258,0.07928060194531107,0.20609286107542668,82083,630200,2032,1467,565,0.7219488188976378,0.2780511811023622
06013326000,"Census Tract 3260, Contra Costa County, California",2009,3339,2433,44,0,284,0,0,115,463,0.7286612758310872,0.013177598083258461,0.08505540581012279,0.13866427073974244,0.2713387241689128,118594,732500,1321,1144,177,0.8660105980317941,0.1339894019682059
06013327000,"Census Tract 3270, Contra Costa County, California",2009,6647,3714,182,34,415,0,11,246,2045,0.5587483075071461,0.02738077328117948,0.062434180833458704,0.307657589890176,0.4412516924928539,53947,174900,2772,2247,525,0.8106060606060606,0.1893939393939394
06013328000,"Census Tract 3280, Contra Costa County, California",2009,2173,1287,170,0,280,0,23,46,367,0.5922687528762081,0.07823285780027611,0.12885411872986655,0.1688909341923608,0.40773124712379194,24577,331800,1087,94,993,0.08647654093836246,0.9135234590616376
06013329000,"Census Tract 3290, Contra Costa County, California",2009,6058,3574,122,99,410,0,0,256,1597,0.5899636843842853,0.020138659623638165,0.06767910201386597,0.263618355893034,0.41003631561571474,53184,479900,2270,1334,936,0.5876651982378854,0.4123348017621145
06013330000,"Census Tract 3300, Contra Costa County, California",2009,5851,2760,73,48,520,0,0,374,2076,0.4717142368825842,0.012476499743633566,0.08887369680396513,0.3548111433942916,0.5282857631174158,74542,457500,1834,1498,336,0.816793893129771,0.183206106870229
06013331000,"Census Tract 3310, Contra Costa County, California",2009,6648,4350,187,52,325,31,0,126,1577,0.6543321299638989,0.02812876052948255,0.048886883273164865,0.23721419975932612,0.3456678700361011,59615,514100,2568,1607,961,0.6257788161993769,0.3742211838006231
06013332000,"Census Tract 3320, Contra Costa County, California",2009,7553,4660,189,77,653,0,41,309,1624,0.6169733880577254,0.025023169601482854,0.08645571296173706,0.21501390176088972,0.3830266119422746,75080,499500,2759,2078,681,0.7531714389271476,0.24682856107285248
06013333100,"Census Tract 3331, Contra Costa County, California",2009,8685,5519,129,9,861,327,53,259,1528,0.6354634427173287,0.014853195164075994,0.09913644214162348,0.17593552101324123,0.3645365572826713,76199,586700,3078,2184,894,0.7095516569200779,0.290448343079922
06013333200,"Census Tract 3332, Contra Costa County, California",2009,5637,3454,298,0,473,0,13,212,1187,0.6127372715983679,0.05286499911300337,0.08390988114245165,0.21057299982260066,0.3872627284016321,67005,540700,2123,1598,525,0.7527084314649082,0.24729156853509185
06013334001,"Census Tract 3340.01, Contra Costa County, California",2009,3945,2594,63,23,286,0,150,22,807,0.6575411913814956,0.01596958174904943,0.07249683143219265,0.20456273764258556,0.3424588086185044,67481,561600,1441,801,640,0.5558639833448994,0.4441360166551006
06013334003,"Census Tract 3340.03, Contra Costa County, California",2009,3780,2527,45,0,870,0,8,104,226,0.6685185185185185,0.011904761904761904,0.23015873015873015,0.059788359788359786,0.3314814814814815,117946,624500,1262,1138,124,0.901743264659271,0.098256735340729
06013334004,"Census Tract 3340.04, Contra Costa County, California",2009,7023,4131,86,0,1239,118,19,245,1185,0.588210166595472,0.012245479139968674,0.17642033319094405,0.1687313114053823,0.411789833404528,53438,397600,3081,1704,1377,0.5530671859785784,0.4469328140214216
06013334005,"Census Tract 3340.05, Contra Costa County, California",2009,1209,741,13,12,250,41,0,0,152,0.6129032258064516,0.010752688172043012,0.20678246484698098,0.12572373862696443,0.3870967741935484,80438,564700,405,302,103,0.745679012345679,0.254320987654321
06013335000,"Census Tract 3350, Contra Costa County, California",2009,3715,2740,0,0,252,19,20,140,544,0.7375504710632571,0,0.06783310901749663,0.14643337819650068,0.2624495289367429,67017,519400,1221,966,255,0.7911547911547911,0.20884520884520885
06013336101,"Census Tract 3361.01, Contra Costa County, California",2009,4295,756,360,18,406,0,0,65,2690,0.1760186263096624,0.08381839348079162,0.09452852153667055,0.6263096623981373,0.8239813736903376,46767,454300,1426,268,1158,0.1879382889200561,0.8120617110799438
06013336102,"Census Tract 3361.02, Contra Costa County, California",2009,7108,1828,412,0,860,0,26,97,3885,0.25717501406865506,0.057962858750703436,0.12099043331457512,0.5465672481710748,0.7428249859313449,41167,241900,2553,575,1978,0.22522522522522523,0.7747747747747747
06013336200,"Census Tract 3362, Contra Costa County, California",2009,8547,1495,132,129,735,154,52,157,5693,0.17491517491517491,0.015444015444015444,0.085995085995086,0.6660816660816661,0.8250848250848251,45455,357700,2490,1013,1477,0.40682730923694777,0.5931726907630522
